,Month,Strawberry ID,Unnamed: 2,Marketable,Waste,Ripeness,Class,brix,hardheid,Unnamed: 9,CAM,Track (Detection v1),Track (Detection v2),Frame name,Tracker in Detection v1 (last-frame),Notes,to-be-discussed,dd,mm,br,nr,yy,date,formatted_date,day_of_year,week_of_year
159,,"23,7,2,3",,True,False,8.0,Tiny (< 25mm),7.1,0.528,,,,,,,"on the bottom 2.3-2.5, from left to right",,23,7,2,3,2021,2021-07-23,2021-07-23,204,29
160,,"23,7,1,7",,True,False,7.0,Coarse (> 30mm),6.0,0.603,,1.0,2016,58,0723_1128,,hidden,,23,7,1,7,2021,2021-07-23,2021-07-23,204,29
161,,"23,7,1,9",,True,False,8.0,Small (25-30 mm),6.8,0.671,,1.0,-,44,0723_1128,,"under 1,8",,23,7,1,9,2021,2021-07-23,2021-07-23,204,29
162,,"23,7,1,3",,True,False,8.0,Small (25-30 mm),7.2,0.666,,1.0,2086,42,0723_1128,,,,23,7,1,3,2021,2021-07-23,2021-07-23,204,29
163,,"23,7,1,6",,True,False,7.0,Coarse (> 30mm),6.6,0.537,,1.0,2026,59,0723_0928,,"1,8 is hidden",,23,7,1,6,2021,2021-07-23,2021-07-23,204,29
164,,"23,7,2,5",,True,False,8.0,Tiny (< 25mm),5.7,0.555,,,,,,,,,23,7,2,5,2021,2021-07-23,2021-07-23,204,29
165,,"23,7,1,4",,True,False,8.0,Coarse (> 30mm),7.1,0.542,,,-,,,,2135's back,,23,7,1,4,2021,2021-07-23,2021-07-23,204,29
166,,"23,7,1,1",,True,False,7.0,Coarse (> 30mm),7.2,0.592,,1.0,1972,79,0723_0928,,,,23,7,1,1,2021,2021-07-23,2021-07-23,204,29
167,,"23,7,1,5",,True,False,8.0,Coarse (> 30mm),7.2,0.335,,1.0,2163,61,0723_0928,,,,23,7,1,5,2021,2021-07-23,2021-07-23,204,29
168,,"26,7,2,2",,True,False,7.0,Tiny (< 25mm),6.4,0.642,,,,,,,,,26,7,2,2,2021,2021-07-26,2021-07-26,207,30
169,,"26,7,1,2",,True,False,7.0,Small (25-30 mm),6.5,0.98,,1.0,2213,81,0726_1131,,,,26,7,1,2,2021,2021-07-26,2021-07-26,207,30
170,,"26,7,1,1",,True,False,8.0,Coarse (> 30mm),6.4,0.654,,,,,,,to much in the left,,26,7,1,1,2021,2021-07-26,2021-07-26,207,30
171,,"26,7,1,4",,True,False,8.0,Small (25-30 mm),6.0,0.642,,1.0,2204,65,0726_1131,,,,26,7,1,4,2021,2021-07-26,2021-07-26,207,30
172,,"26,7,1,3",,True,False,7.0,Tiny (< 25mm),7.0,0.803,,1.0,2294,66,0726_1131,,,,26,7,1,3,2021,2021-07-26,2021-07-26,207,30
173,,"26,7,1,5",,True,False,8.0,Tiny (< 25mm),7.0,0.567,,3.0,1511,45,0727_0942,,,,26,7,1,5,2021,2021-07-26,2021-07-26,207,30
174,,"26,7,2,1",,True,False,8.0,Coarse (> 30mm),7.7,0.385,,3.0,1459,46,0726_0942,,,,26,7,2,1,2021,2021-07-26,2021-07-26,207,30
175,,"26,7,2,3",,True,False,7.0,Tiny (< 25mm),5.5,0.706,,,,,,,,One of this or behind is 1498. But there were two labels!,26,7,2,3,2021,2021-07-26,2021-07-26,207,30
176,,"26,7,2,4",,True,False,7.0,Tiny (< 25mm),8.7,0.636,,,909,,,,,,26,7,2,4,2021,2021-07-26,2021-07-26,207,30
177,,"26,7,1,6",,True,False,8.0,Coarse (> 30mm),8.2,0.447,,3.0,1586,48,0726_0942,,,,26,7,1,6,2021,2021-07-26,2021-07-26,207,30
178,,"26,7,2,6",,True,False,8.0,Small (25-30 mm),7.4,0.392,,,792,,,,,792 looks like 26.7.2.5,26,7,2,6,2021,2021-07-26,2021-07-26,207,30
179,,"30,7,1,4",,True,False,8.0,Tiny (< 25mm),6.9,0.59,,,,,,,,,30,7,1,4,2021,2021-07-30,2021-07-30,211,30
180,,"30,7,1,2",,True,False,8.0,Coarse (> 30mm),6.9,0.462,,,,,,,,,30,7,1,2,2021,2021-07-30,2021-07-30,211,30
181,,"30,7,2,1",,True,False,8.0,Small (25-30 mm),6.3,0.876,,3.0,1760,57,0730_0945,,,,30,7,2,1,2021,2021-07-30,2021-07-30,211,30
182,,"30,7,1,1",,True,False,8.0,Small (25-30 mm),8.0,0.356,,1.0,2300,82,0730_0935,,,,30,7,1,1,2021,2021-07-30,2021-07-30,211,30
183,,"30,7,2,3",,True,False,8.0,Tiny (< 25mm),7.3,0.766,,5.0,1093,,,,,,30,7,2,3,2021,2021-07-30,2021-07-30,211,30
184,,"30,7,1,3",,True,False,8.0,Coarse (> 30mm),9.3,0.387,,3.0,1622,49,0730_0945,,,,30,7,1,3,2021,2021-07-30,2021-07-30,211,30
185,,"30,7,2,2",,True,False,8.0,Tiny (< 25mm),6.0,0.864,,,,,,,,,30,7,2,2,2021,2021-07-30,2021-07-30,211,30
186,,"13,8,2,5",,True,False,8.0,Small (25-30 mm),9.6,0.439,,5.0,1856,,,,,"2804 is 13,8,1,5, but here are two 13.8.2.5",13,8,2,5,2021,2021-08-13,2021-08-13,225,32
187,,"13,8,1,4",,True,False,8.0,Tiny (< 25mm),8.6,0.426,,1.0,3056,139,0813_0913,,,,13,8,1,4,2021,2021-08-13,2021-08-13,225,32
188,,"13,8,1,1",,True,False,8.0,Coarse (> 30mm),8.0,0.356,,1.0,2867,174,0813_0913,,,,13,8,1,1,2021,2021-08-13,2021-08-13,225,32
189,,"13,8,1,2",,True,False,8.0,Coarse (> 30mm),8.0,0.46,,1.0,2937,163,0813_0913,,,,13,8,1,2,2021,2021-08-13,2021-08-13,225,32
190,,"13,8,2,3",,True,False,8.0,Tiny (< 25mm),7.8,0.552,,3.0,,71,0813_1128,,,2413 or behind?,13,8,2,3,2021,2021-08-13,2021-08-13,225,32
191,,"13,8,2,2",,True,False,8.0,Small (25-30 mm),9.9,0.301,,5.0,1381,,,,,,13,8,2,2,2021,2021-08-13,2021-08-13,225,32
192,,"13,8,1,3",,True,False,8.0,Coarse (> 30mm),7.8,0.656,,1.0,3028,165,0813_0913,,,,13,8,1,3,2021,2021-08-13,2021-08-13,225,32
193,,"13,8,1,6",,True,False,8.0,Small (25-30 mm),8.5,0.28,,1.0,3053,160,0813_0913,,,,13,8,1,6,2021,2021-08-13,2021-08-13,225,32
194,,"13,8,2,5",,True,False,8.0,Small (25-30 mm),8.0,0.903,,,,,,,,"2804 is 13,8,1,5, but here are two 13.8.2.5",13,8,2,5,2021,2021-08-13,2021-08-13,225,32
195,,"13,8,2,4",,True,False,8.0,Small (25-30 mm),8.5,0.473,,3.0,,217,0813_1128,,,2299 or behind?,13,8,2,4,2021,2021-08-13,2021-08-13,225,32
196,,"13,8,2,1",,True,False,8.0,Small (25-30 mm),7.5,0.386,,3.0,2050,208,0813_1128,,,,13,8,2,1,2021,2021-08-13,2021-08-13,225,32
197,,"20,8,2,6",,True,False,8.0,Small (25-30 mm),8.5,0.5,,5.0,1758,,,,,,20,8,2,6,2021,2021-08-20,2021-08-20,232,33
198,,"20,8,2,1",,True,False,7.0,Tiny (< 25mm),6.2,0.839,,3.0,2701,222,0820_1036,,,,20,8,2,1,2021,2021-08-20,2021-08-20,232,33
199,,"20,8,2,2",,True,False,8.0,Small (25-30 mm),10.1,0.495,,3.0,2703,211,0820_1036,,,,20,8,2,2,2021,2021-08-20,2021-08-20,232,33
200,,"20,8,1,4",,True,False,7.0,Small (25-30 mm),7.7,0.51,,,,,,,,,20,8,1,4,2021,2021-08-20,2021-08-20,232,33
201,,"20,8,2,3",,True,False,8.0,Small (25-30 mm),9.5,0.364,,3.0,,217,0820_1536,,,,20,8,2,3,2021,2021-08-20,2021-08-20,232,33
202,,"20,8,1,5",,True,False,8.0,Coarse (> 30mm),7.5,0.261,,3.0,2466,229,0820_1036,,,,20,8,1,5,2021,2021-08-20,2021-08-20,232,33
203,,"20,8,2,4",,True,False,8.0,Small (25-30 mm),7.6,0.635,,5.0,1987,,,,,,20,8,2,4,2021,2021-08-20,2021-08-20,232,33
204,,"20,8,1,6",,True,False,8.0,Coarse (> 30mm),8.5,0.589,,3.0,2541,285,0820_1036,,,,20,8,1,6,2021,2021-08-20,2021-08-20,232,33
205,,"20,8,1,3",,True,False,8.0,Coarse (> 30mm),8.5,0.494,,1.0,3178,172,0820_0920,,,,20,8,1,3,2021,2021-08-20,2021-08-20,232,33
206,,"20,8,1,1",,True,False,7.0,Small (25-30 mm),7.8,0.734,,1.0,3193,181,0820_0920,,,,20,8,1,1,2021,2021-08-20,2021-08-20,232,33
207,,"20,8,2,5",,True,False,8.0,Coarse (> 30mm),7.4,0.526,,5.0,1990,,,,,,20,8,2,5,2021,2021-08-20,2021-08-20,232,33
208,,"20,8,1,2",,True,False,8.0,Coarse (> 30mm),6.4,0.454,,,,,,,,on the left?,20,8,1,2,2021,2021-08-20,2021-08-20,232,33
209,,"27,8,1,4",,True,False,8.0,Small (25-30 mm),10.1,0.403,,3.0,,271,0827_0944,,,to the left of cam 3,27,8,1,4,2021,2021-08-27,2021-08-27,239,34
210,,"27,8,1,3",,True,False,8.0,Small (25-30 mm),8.4,0.38,,1.0,3336 or 3337,181,0827_1226,,,probably 3336,27,8,1,3,2021,2021-08-27,2021-08-27,239,34
211,,"27,8,1,2",,True,False,8.0,Tiny (< 25mm),8.2,0.446,,1.0,3309,179,0827_1226,,,"1,1 on the left, miss",27,8,1,2,2021,2021-08-27,2021-08-27,239,34
212,,"27,8,2,3",,True,False,8.0,Small (25-30 mm),8.2,0.673,,3.0,,294,0827_0944,,,"on the top, not tracked",27,8,2,3,2021,2021-08-27,2021-08-27,239,34
213,,"27,8,2,2",,True,False,9.0,Coarse (> 30mm),10.1,0.299,,3.0,,274,0827_0944,,,"on the right bottom, not tracked",27,8,2,2,2021,2021-08-27,2021-08-27,239,34
214,,"27,8,2,1",,True,False,8.0,Tiny (< 25mm),9.5,0.664,,3.0,2722,264,0827_0944,,,,27,8,2,1,2021,2021-08-27,2021-08-27,239,34
215,,"27,8,1,5",,True,False,7.0,Coarse (> 30mm),5.8,0.386,,3.0,2550,242,0827_0944,,,,27,8,1,5,2021,2021-08-27,2021-08-27,239,34
216,,"27,8,2,4",,True,False,7.0,Small (25-30 mm),7.1,0.596,,,,,,,,might hidden in the left bottom of cam 5,27,8,2,4,2021,2021-08-27,2021-08-27,239,34
217,,"27,8,2,5",,True,False,6.0,Coarse (> 30mm),6.3,0.8,,5.0,2034,,,,,not sure,27,8,2,5,2021,2021-08-27,2021-08-27,239,34
218,,"27,8,2,6",,True,False,8.0,Small (25-30 mm),8.1,0.338,,5.0,2021,,,,,,27,8,2,6,2021,2021-08-27,2021-08-27,239,34
219,,"3,9,2,1",,True,False,7.0,Tiny (< 25mm),8.6,1.066,,3.0,,,,,,"half, 3.9.2.4 is missing",3,9,2,1,2021,2021-09-03,2021-09-03,246,35
220,,"3,9,2,3",,True,False,8.0,Small (25-30 mm),8.5,0.47,,,,,,,,,3,9,2,3,2021,2021-09-03,2021-09-03,246,35
221,,"3,9,1,2",,True,False,8.0,Small (25-30 mm),6.8,0.565,,1.0,,228,0903_1033,,,,3,9,1,2,2021,2021-09-03,2021-09-03,246,35
222,,"3,9,1,1",,True,False,8.0,Small (25-30 mm),7.8,0.426,,1.0,,242,0903_1033,,,,3,9,1,1,2021,2021-09-03,2021-09-03,246,35
223,,"3,9,1,3",,True,False,8.0,Small (25-30 mm),6.9,0.636,,1.0,,202,0903_1033,,,,3,9,1,3,2021,2021-09-03,2021-09-03,246,35
224,,"3,9,1,5",,True,False,8.0,Small (25-30 mm),7.1,0.579,,3.0,,314,,,,half,3,9,1,5,2021,2021-09-03,2021-09-03,246,35
225,,"3,9,2,2",,True,False,8.0,Coarse (> 30mm),8.1,0.421,,,,,,,,,3,9,2,2,2021,2021-09-03,2021-09-03,246,35
226,,"3,9,2,6",,True,False,8.0,Small (25-30 mm),6.5,0.542,,5.0,,,,,,,3,9,2,6,2021,2021-09-03,2021-09-03,246,35
227,,"3,9,1,6",,True,False,7.0,Coarse (> 30mm),6.3,0.967,,,,,,,,,3,9,1,6,2021,2021-09-03,2021-09-03,246,35
228,,"3,9,2,5",,True,False,7.0,Coarse (> 30mm),6.4,0.622,,5.0,,,,,,behind,3,9,2,5,2021,2021-09-03,2021-09-03,246,35
229,,"3,9,1,4",,True,False,7.0,Coarse (> 30mm),6.8,0.446,,1.0,,,,,,,3,9,1,4,2021,2021-09-03,2021-09-03,246,35
230,,"10,9,1,2",,True,False,7.0,Coarse (> 30mm),7.5,0.617,,1.0,,247,0910_1340,,,,10,9,1,2,2021,2021-09-10,2021-09-10,253,36
231,,"10,9,1,1",,True,False,8.0,Coarse (> 30mm),7.6,0.336,,1.0,,231,0910_1340,,,,10,9,1,1,2021,2021-09-10,2021-09-10,253,36
232,,"10,9,1,6",,True,False,8.0,Small (25-30 mm),8.1,0.4,,3.0,,346,,,,labels were hidden,10,9,1,6,2021,2021-09-10,2021-09-10,253,36
233,,"10,9,1,4",,True,False,8.0,Small (25-30 mm),7.7,0.384,,3.0,,401,,,,labels were hidden,10,9,1,4,2021,2021-09-10,2021-09-10,253,36
234,,"10,9,1,3",,True,False,6.0,Tiny (< 25mm),6.3,0.894,,,,,,,,,10,9,1,3,2021,2021-09-10,2021-09-10,253,36
235,,"10,9,1,5",,True,False,8.0,Small (25-30 mm),6.4,0.528,,3.0,,358,0910_1442,,,,10,9,1,5,2021,2021-09-10,2021-09-10,253,36
236,,"10,9,2,1",,True,False,8.0,Small (25-30 mm),7.6,0.445,,,,,,,,,10,9,2,1,2021,2021-09-10,2021-09-10,253,36
237,,"10,9,2,4",,True,False,9.0,Coarse (> 30mm),7.1,0.394,,,,,,,,,10,9,2,4,2021,2021-09-10,2021-09-10,253,36
238,,"10,9,2,5",,True,False,8.0,Coarse (> 30mm),7.3,0.455,,5.0,,,,,,2 labels hidden behind in CAM5,10,9,2,5,2021,2021-09-10,2021-09-10,253,36
239,,"10,9,2,2",,True,False,8.0,Small (25-30 mm),7.6,0.371,,,,,,,,,10,9,2,2,2021,2021-09-10,2021-09-10,253,36
240,,"10,9,2,6",,True,False,8.0,Coarse (> 30mm),6.8,0.302,,,,,,,,,10,9,2,6,2021,2021-09-10,2021-09-10,253,36
241,,"17,9,1,5",,True,False,8.0,Tiny (< 25mm),7.5,0.4,,,,,,,,might be RGB1,17,9,1,5,2021,2021-09-17,2021-09-17,260,37
242,,"17,9,1,6",,True,False,9.0,Coarse (> 30mm),9.2,0.421,,,,,,,,,17,9,1,6,2021,2021-09-17,2021-09-17,260,37
243,,"17,9,1,3",,True,False,7.0,Tiny (< 25mm),8.5,0.696,,1.0,,274,0917_1046,,,,17,9,1,3,2021,2021-09-17,2021-09-17,260,37
244,,"17,9,1,4",,True,False,8.0,Small (25-30 mm),8.4,0.601,,3.0,,463,,,,,17,9,1,4,2021,2021-09-17,2021-09-17,260,37
245,,"17,9,1,1",,True,False,7.0,Small (25-30 mm),5.9,0.72,,3.0,,439,,,,should be RGB1,17,9,1,1,2021,2021-09-17,2021-09-17,260,37
246,,"17,9,1,2",,True,False,8.0,Tiny (< 25mm),8.0,0.719,,,,,,,,,17,9,1,2,2021,2021-09-17,2021-09-17,260,37
247,,"17,9,2,1",,True,False,8.0,Small (25-30 mm),7.9,0.45,,3.0,,404,,,,,17,9,2,1,2021,2021-09-17,2021-09-17,260,37
248,,"17,9,2,5",,True,False,7.0,Coarse (> 30mm),6.0,0.7,,5.0,,,0917_1049,,,,17,9,2,5,2021,2021-09-17,2021-09-17,260,37
249,,"17,9,2,2",,True,False,7.0,Tiny (< 25mm),7.1,1.183,,3.0,,527,,,,,17,9,2,2,2021,2021-09-17,2021-09-17,260,37
250,,"17,9,2,3",,True,False,8.0,Small (25-30 mm),6.6,0.585,,5.0,,,,,,,17,9,2,3,2021,2021-09-17,2021-09-17,260,37
251,,"17,9,2,6",,True,False,7.0,Tiny (< 25mm),7.4,1.211,,-5.0,,,,,,,17,9,2,6,2021,2021-09-17,2021-09-17,260,37
252,,"17,9,2,4",,True,False,8.0,Coarse (> 30mm),7.5,0.528,,5.0,,,,,,"lost 17,9,2,5",17,9,2,4,2021,2021-09-17,2021-09-17,260,37
253,,"24,9,2,5",,True,False,7.0,Coarse (> 30mm),9.0,1.391,,,,,,,,,24,9,2,5,2021,2021-09-24,2021-09-24,267,38
254,,"24,9,1,6",,True,False,7.0,Small (25-30 mm),8.1,1.0,,1.0,,302,0924_0853,,,24.9.1.1 measurement missing,24,9,1,6,2021,2021-09-24,2021-09-24,267,38
255,,"24,9,2,4",,True,False,7.0,Small (25-30 mm),8.0,0.807,,5.0,,,,,,one more hidden label,24,9,2,4,2021,2021-09-24,2021-09-24,267,38
256,,"24,9,2,6",,True,False,8.0,Small (25-30 mm),8.1,0.486,,5.0,,,,,,,24,9,2,6,2021,2021-09-24,2021-09-24,267,38
257,,"24,9,2,2",,True,False,8.0,Small (25-30 mm),9.6,0.64,,3.0,,454,,,,,24,9,2,2,2021,2021-09-24,2021-09-24,267,38
258,,"24,9,1,2",,True,False,8.0,Small (25-30 mm),11.0,0.694,,,,,,,,,24,9,1,2,2021,2021-09-24,2021-09-24,267,38
259,,"24,9,1,3",,True,False,7.0,Coarse (> 30mm),7.4,0.745,,1.0,,309,0924_0853,,,,24,9,1,3,2021,2021-09-24,2021-09-24,267,38
260,,"24,9,1,5",,True,False,8.0,Coarse (> 30mm),9.4,0.494,,,,,,,,,24,9,1,5,2021,2021-09-24,2021-09-24,267,38
261,,"24,9,2,3",,True,False,8.0,Coarse (> 30mm),8.7,0.442,,,,,,,,,24,9,2,3,2021,2021-09-24,2021-09-24,267,38
262,,"24,9,1,4",,True,False,7.0,Small (25-30 mm),11.9,0.559,,1.0,,271,0924_0853,,,,24,9,1,4,2021,2021-09-24,2021-09-24,267,38
263,,"24,9,2,1",,True,False,8.0,Small (25-30 mm),10.5,0.835,,3.0,,410,,,,,24,9,2,1,2021,2021-09-24,2021-09-24,267,38
264,,"1,10,1,6",,True,False,7.0,Coarse (> 30mm),10.2,0.645,,,,,,,,probably hidden in left CAM3,1,10,1,6,2021,2021-10-01,2021-10-01,274,39
265,,"1,10,1,4",,True,False,8.0,Small (25-30 mm),8.3,0.397,,1.0,,315,1001_0900,,,,1,10,1,4,2021,2021-10-01,2021-10-01,274,39
266,,"1,10,1,3",,True,False,8.0,Coarse (> 30mm),10.8,0.48,,1.0,,314,1001_0900,,,,1,10,1,3,2021,2021-10-01,2021-10-01,274,39
267,,"1,10,1,5",,True,False,8.0,Small (25-30 mm),8.8,0.441,,3.0,,,,,,,1,10,1,5,2021,2021-10-01,2021-10-01,274,39
268,,"1,10,1,2",,True,False,8.0,Coarse (> 30mm),10.2,0.644,,1.0,,317,1001_0900,,,,1,10,1,2,2021,2021-10-01,2021-10-01,274,39
269,,"1,10,1,1",,True,False,7.0,Tiny (< 25mm),11.6,0.647,,1.0,,306,1001_0900,,,,1,10,1,1,2021,2021-10-01,2021-10-01,274,39
270,,"1,10,2,3",,True,False,7.0,Small (25-30 mm),9.2,1.033,,3.0,,,,,,,1,10,2,3,2021,2021-10-01,2021-10-01,274,39
271,,"1,10,2,4",,True,False,7.0,Tiny (< 25mm),9.4,1.026,,5.0,,,,,,,1,10,2,4,2021,2021-10-01,2021-10-01,274,39
272,,"1,10,2,1",,True,False,7.0,Small (25-30 mm),8.1,0.846,,3.0,,,,,,,1,10,2,1,2021,2021-10-01,2021-10-01,274,39
273,,"1,10,2,6",,True,False,7.0,Small (25-30 mm),9.0,0.791,,5.0,,,,,,,1,10,2,6,2021,2021-10-01,2021-10-01,274,39
274,,"1,10,2,2",,True,False,6.0,Tiny (< 25mm),9.6,0.843,,3.0,,,,,,,1,10,2,2,2021,2021-10-01,2021-10-01,274,39
275,,"8,10,1,1",,False,True,8.0,Misshapen,,0.8,,,,,,,missing,,8,10,1,1,2021,2021-10-08,2021-10-08,281,40
276,,"8,10,1,2",,True,False,6.0,Coarse (> 30mm),9.3,0.751,,1.0,,316,1008_1007,,,,8,10,1,2,2021,2021-10-08,2021-10-08,281,40
277,,"8,10,2,1",,True,False,6.0,Small (25-30 mm),9.8,1.16,,3.0,,,,,,,8,10,2,1,2021,2021-10-08,2021-10-08,281,40
278,,"8,10,2,2",,True,False,5.0,Coarse (> 30mm),9.0,1.11,,3.0,,,,,,another on the right edge (probably 3),8,10,2,2,2021,2021-10-08,2021-10-08,281,40
279,,"8,10,2,3",,True,False,7.0,Small (25-30 mm),7.2,0.686,,5.0,,,,,,The notes are very clear!!,8,10,2,3,2021,2021-10-08,2021-10-08,281,40
280,,"8,10,2,4",,True,False,7.0,Tiny (< 25mm),10.6,1.034,,5.0,,,,,,,8,10,2,4,2021,2021-10-08,2021-10-08,281,40
281,,"8,10,2,5",,True,False,6.0,Small (25-30 mm),9.2,0.921,,,,,,,,,8,10,2,5,2021,2021-10-08,2021-10-08,281,40
282,,"8,10,2,6",,True,False,5.0,Small (25-30 mm),8.7,1.217,,5.0,,,,,,,8,10,2,6,2021,2021-10-08,2021-10-08,281,40
283,,"8,10,2,7",,False,True,8.0,Misshapen,9.2,0.878,,5.0,,,,,,,8,10,2,7,2021,2021-10-08,2021-10-08,281,40
284,,"8,10,2,8",,True,False,7.0,Small (25-30 mm),9.3,0.98,,5.0,,,,,,,8,10,2,8,2021,2021-10-08,2021-10-08,281,40
285,,"15,10,2,2",,True,False,7.0,Tiny (< 25mm),8.6,0.9,,5.0,,,,,,,15,10,2,2,2021,2021-10-15,2021-10-15,288,41
286,,"15,10,2,1",,True,False,8.0,Tiny (< 25mm),10.2,,,3.0,,,,,,,15,10,2,1,2021,2021-10-15,2021-10-15,288,41
287,,"15,10,1,4",,True,False,8.0,Small (25-30 mm),8.6,0.702,,-3.0,,,,,,probably left CAM3 (label hidden),15,10,1,4,2021,2021-10-15,2021-10-15,288,41
288,,"15,10,1,2",,True,False,8.0,Small (25-30 mm),9.3,0.983,,1.0,,,1015_1004,,,,15,10,1,2,2021,2021-10-15,2021-10-15,288,41
289,,"15,10,2,3",,True,False,8.0,Small (25-30 mm),10.3,,,5.0,,,,,,,15,10,2,3,2021,2021-10-15,2021-10-15,288,41
290,,"15,10,1,3",,True,False,8.0,Small (25-30 mm),10.8,,,1.0,,,,,,,15,10,1,3,2021,2021-10-15,2021-10-15,288,41
291,,"15,10,1,1",,True,False,8.0,Small (25-30 mm),9.4,,,1.0,,,,,,,15,10,1,1,2021,2021-10-15,2021-10-15,288,41
292,,"29,10,2,4",,True,False,8.0,Tiny (< 25mm),10.1,0.2,,5.0,,,,,,,29,10,2,4,2021,2021-10-29,2021-10-29,302,43
293,,"29,10,2,6",,True,False,8.0,Tiny (< 25mm),12.9,0.6,,5.0,,,,,,,29,10,2,6,2021,2021-10-29,2021-10-29,302,43
294,,"29,10,1,1",,True,False,8.0,Small (25-30 mm),8.7,0.783,,1.0,,,,,,,29,10,1,1,2021,2021-10-29,2021-10-29,302,43
295,,"29,10,1,2",,True,False,8.0,Small (25-30 mm),12.1,0.604,,-1.0,,,,,,,29,10,1,2,2021,2021-10-29,2021-10-29,302,43
296,,"29,10,2,1",,True,False,8.0,Tiny (< 25mm),6.3,0.85,,,,,,,,,29,10,2,1,2021,2021-10-29,2021-10-29,302,43
297,,"29,10,2,3",,True,False,8.0,Tiny (< 25mm),11.0,0.969,,-5.0,,,,,,,29,10,2,3,2021,2021-10-29,2021-10-29,302,43
298,,"29,10,1,6",,True,False,8.0,Small (25-30 mm),11.1,1.204,,,,,,,,"probably hidden by 29,10,1,5",29,10,1,6,2021,2021-10-29,2021-10-29,302,43
299,,"29,10,2,5",,True,False,8.0,Small (25-30 mm),11.6,0.594,,5.0,,,,,,,29,10,2,5,2021,2021-10-29,2021-10-29,302,43
300,,"29,10,2,2",,True,False,8.0,Tiny (< 25mm),9.8,0.734,,5.0,,,,,,,29,10,2,2,2021,2021-10-29,2021-10-29,302,43
301,,"29,10,1,5",,True,False,8.0,Small (25-30 mm),9.8,0.973,,3.0,,,,,,,29,10,1,5,2021,2021-10-29,2021-10-29,302,43
302,,"29,10,1,4",,True,False,8.0,Small (25-30 mm),10.4,0.7,,1.0,,,,,,,29,10,1,4,2021,2021-10-29,2021-10-29,302,43
303,,"29,10,1,3",,True,False,8.0,Small (25-30 mm),7.8,0.903,,1.0,,,,,,,29,10,1,3,2021,2021-10-29,2021-10-29,302,43
304,,"5,11,1,1",,True,False,8.0,Small (25-30 mm),8.7,0.797,,-1.0,,,,,,label and strawberry were hidden,5,11,1,1,2021,2021-11-05,2021-11-05,309,44
305,,"5,11,1,2",,True,False,8.0,Coarse (> 30mm),7.8,0.866,,1.0,,,,,,strawberry hidden,5,11,1,2,2021,2021-11-05,2021-11-05,309,44
306,,"5,11,2,3",,False,True,7.0,Tiny (< 25mm),13.2,0.957,,5.0,,,,,,"5,11,2,1 was not tested?",5,11,2,3,2021,2021-11-05,2021-11-05,309,44
307,,"5,11,1,3",,True,False,7.0,Small (25-30 mm),11.2,0.456,,-1.0,,,,,,label and strawberry were hidden,5,11,1,3,2021,2021-11-05,2021-11-05,309,44
308,,"5,11,2,4",,True,False,9.0,Small (25-30 mm),9.9,1.127,,-5.0,,,,,overlapped label,,5,11,2,4,2021,2021-11-05,2021-11-05,309,44
309,,"5,11,2,2",,True,False,8.0,Small (25-30 mm),6.8,0.756,,3.0,,,,,overlapped label,,5,11,2,2,2021,2021-11-05,2021-11-05,309,44
